Model,Composite_Score_3
R1203TS006_3,31.059367216169694
R1203TS028_3,24.455672568895558
R1203TS033_5,
R1203TS052_2,19.926816439788478
R1203TS063_3,10.480725736926736
R1203TS094_2,13.247377601521762
R1203TS110_2,7.943413379006147
R1203TS156_1,24.946155665303955
R1203TS159_2,31.255706234455694
R1203TS165_3,10.849597596849097
R1203TS167_2,31.916950732073047
R1203TS169_5,12.370106036727586
R1203TS183_5,16.067929297441204
R1203TS189_5,23.196408080863392
R1203TS208_1,4.125439569436727
R1203TS231_5,28.874438119926133
R1203TS235_2,46.39078206711717
R1203TS238_5,33.796906354881386
R1203TS241_3,49.84779849031055
R1203TS261_3,10.86505292461389
R1203TS267_1,19.023338758116118
R1203TS272_1,30.711389577279846
R1203TS276_1,30.449108252977474
R1203TS286_1,18.741565032620795
R1203TS294_1,30.712338957528793
R1203TS298_1,9.179996297979894
R1203TS304_3,49.84779849031055
R1203TS306_1,2.8758887383302776
R1203TS317_4,10.438538450685604
R1203TS338_5,10.187964667355324
R1203TS358_2,11.546373878272952
R1203TS367_1,6.695454547384761
R1203TS369_2,40.1286950225372
R1203TS400_1,32.342642737304004
R1203TS403_1,2.227753355399649
R1203TS417_4,23.331677840125714
R1203TS423_1,9.179996297979894
R1203TS435_5,47.49386081598613
R1203TS448_1,20.489513812696057
R1203TS450_2,9.973653696551116
R1203TS456_2,13.30556425179432
R1203TS462_1,7.981162869693908
R1203TS481_5,10.410110828901345
